numero_nota;empresa;motivo;detalhe
14922;A&J TREINAMENTOS LTDA;empresa nao encontrada na planilha;
14926;ADRIANA DORNELLES SOCIEDADE INDIVIDUAL DE ADVOCACIA;empresa nao encontrada na planilha;
14927;ALESSANDRA MENDES LAZZARI PINTO CORDEIRO SOCIEDADE INDIVIDUAL DE ADVOCACIA;empresa nao encontrada na planilha;
14934;ARPEM ASSOCIACAO REGIONAL DA EMPRESA MOVELEIRA;empresa tem observacao na planilha (lancamento diferente);CONTA 730  PIS E COFINS 08
14936;AUTO FEIRAO DE VEICULOS;empresa nao encontrada na planilha;
14937;BELA VIDA COMERCIO DE CEREAIS LTDA;empresa tem observacao na planilha (lancamento diferente);PIS E COFINS 70
14944;CINTIA MARTINS PRESTADORA DE SERVICOS ADMINISTRATIVO LTDA;empresa nao encontrada na planilha;
14948;COMERCIO E REPRES. KATZER LTDA;empresa nao encontrada na planilha;
14957;DOMO TELHAS E COBERTURAS LTDA;empresa nao encontrada na planilha;
14966;FLEXSIV INDUSTRIA, COMERCIO, EXPORTACAO E IMPORTACAO DE PRODUTOS MEDICOS E ODONTOLOGICOS LTDA;empresa nao encontrada na planilha;
14971;GIRARDI &AMP FOLETTO COMERCIO DE ALIMENTOS LTDA;empresa nao encontrada na planilha;
14987;JG SUL TRANSPORTES LTDA;empresa tem observacao na planilha (lancamento diferente);PIS E COFINS 70
14993;KONTOR ACOS LTDA;empresa tem observacao na planilha (lancamento diferente);PIS E COFINS 70 -CD99999
14994;KONTOR DISTRIBUIÇÃO LTDA;empresa tem observacao na planilha (lancamento diferente);PIS E COFINS 71 CD99999
14996;LABOR & VIDA SEGURANÇA E MEDICINA DO TRABALHO LTDA;empresa nao encontrada na planilha;
14998;L.E COMERCIO DE DOCES EM GERAL LTDA;empresa nao encontrada na planilha;
14999;LYEB SERVICOS LTDA;empresa nao encontrada na planilha;
15001;LUXORCARBON JETVANS LTDA;empresa nao encontrada na planilha;
15004;MAHT ADMINISTRADORA DE BENS LTDA;empresa nao encontrada na planilha;
15009;METALARTES OXFORD INDUSTRIA E COMERCIO LTDA;empresa nao encontrada na planilha;
15011;MMCITE BR INDUSTRIA E COMERCIO DE MOBILIARIO URBANO LTDA;empresa tem observacao na planilha (lancamento diferente);CONTA 700923
15015;MUNEX ADMINISTRADORA DE BENS LTDA.;empresa tem observacao na planilha (lancamento diferente);CONTA 925
15022;PARAFER DISTRIBUIDORA LTDA;empresa nao encontrada na planilha;
15027;R3 HAUS ADMINISTRADORA DE BENS LTDA;empresa nao encontrada na planilha;
15029;RITUAL CERVEJARIA;empresa nao encontrada na planilha;
15034;SIDEN TRANSPORTES LTDA;empresa tem observacao na planilha (lancamento diferente);PIS E CONFINS 70
15036;SINDICATO DO COMÉRCIO VAREJISTA DE SÃO BENTO DO SUL;empresa nao encontrada na planilha;
15037;SINDICATO DAS INDUSTRIAS DA CONSTRUCAO E DO MOBILIARIO DE SAO BENTO DO SUL;empresa nao encontrada na planilha;
15038;SINDICATO DAS INDUSTRIAS DA CONSTRUCAO E DO MOBILIARIO DE SAO BENTO DO SUL;empresa nao encontrada na planilha;
15044;TRANSPORTES CARNEIRO LTDA - ME;empresa nao encontrada na planilha;
15046;VDC TRANSPORTES LTDA;empresa nao encontrada na planilha;
15052;CONFEITARIA LUCILIA LTDA;empresa nao encontrada na planilha;
15056;MERCANTIL RAOLI COMÉRCIO E REPRESENTAÇÕES LTDA;empresa nao encontrada na planilha;
15057;TANIA ANDREA CEJAS SOUZA;empresa nao encontrada na planilha;
15064;EXPRESSO M & M LTDA;empresa tem observacao na planilha (lancamento diferente);PIS E COFINS 70
15073;NEO ADMINISTRADORA DE BENS LTDA;empresa nao encontrada na planilha;
15075;RV INDUSTRIA DE COLCHOES E MOVEIS LTDA;empresa tem observacao na planilha (lancamento diferente);PIS E COFINS 70
15082;STOKTUBOS REPRESENTAÇÕES COMERCIAIS LTDA;empresa nao encontrada na planilha;
